,description,generated_keywords
66,The Alliance for Excellent Education's Action Academy is an online learning community of education advocates.,education action online excellent advocates
67,"K-12 public school funding continues to be deeply unfair in many states and a major factor contributing to disparities in education resources, opportunities and ...",education resources deeply factor unfair
68,"Education Pioneers recruits, connects, and advances professionals from diverse backgrounds to solve problems from outside of the classroom so students and ...",problems outside advances connects pioneers
69,This year's Open Education Conference had more attendees than ever before.,year open conference education attendees
70,"In addition to improving quality of life, access to inclusive education can ...",life access addition improving quality
71,The AAD is your premier educational home for continuing professional development in dermatology with the goal of improving patient care ...,home continuing patient premier dermatology
72,Classroom strategies and innovation for teachers all over ...,innovation teachers classroom strategies
73,Getting a credential evaluation from ECE will help colleges and universities within the U.S. understand your educational background.,understand educational getting background credential
74,"But for appraisers and professionals who rely upon appraisals, your high-quality, comprehensive valuation education resource should be the Appraisal Institute.",professionals rely high valuation institute
75,"The Education Minnesota Foundation for Excellence in Teaching and Learning offers numerous grants to active, dues paying members.",learning offers grants active dues
76,NAR offers a wide selection of real estate training options for members ...,selection real wide training members
77,"For 60 years, Education Development Center (EDC), has designed and delivered programs in education, health, and economic opportunity that provide ...",years education designed delivered 60
78,"At Lincoln Center Education, music, theater, and dance are all doorways to cultivating skills that are critical in our dynamic, changing world.",changing world theater cultivating doorways
79,"LEGO® Education SPIKE™ Prime is a powerful STEAM learning solution for middle school that combines LEGO bricks, coding language based on Scratch, and ...",learning solution prime steam lego
80,The Madison Metropolitan School District is updating its curriculum and adding consent to the student learning outcomes for 4K through fifth ...,curriculum adding consent metropolitan madison
81,"Promoting high-quality learning by connecting practice, policy, and research.",quality learning research promoting policy
82,"Education Cannot Wait is a new global fund to transform the delivery of education in emergencies - one that joins up governments, humanitarian actors and ...",education wait transform actors emergencies
84,"But candidates supported by the city's teacher union, the Jersey City Education Association (JCEA), earned the most votes and claimed the ...",supported city earned votes jersey
85,"Jerry Brown's landmark school funding law, the California State Auditor sharply criticized the Legislature and State Board of Education for ...",state board landmark sharply brown
86,DEC has environmental education programs and resources that will help everyone become a better steward of the environment.,help better programs environmental steward
87,APA is implementing a number of educational initiatives that provide high-quality and innovative medical education for psychiatrists and ...,provide high implementing number psychiatrists
88,"The latest news from the Texas Education Agency is available through news releases, online correspondence, mailing lists, and other posted information.",available news education posted correspondence
89,"We are dedicated to providing the highest quality of innovative support to Indiana's schools, teachers, students ...",providing highest teachers support innovative
90,"Online, live, and group Respiratory Care education and continuing respiratory care education (CRCE) for respiratory therapists by the AARC.",care education group live aarc
91,Adobe Creative Cloud for education provides educational institutions with industry-leading creative tools and centralized software management and ...,education provides creative centralized cloud
92,Each and every student empowered and equipped to pursue a successful future.,successful future pursue student empowered
93,State seal of Colorado to represent State Board of Education.,state board education represent colorado
94,Our children's futures depend on us following through to identify smart solutions to public education's toughest challenges.,solutions public following children futures
95,"American public education prepares all students with the knowledge, skills, and dispositions they need to be active participants in a robust democracy and to be ...",students knowledge democracy robust american
96,"The Education Program makes grants to help educators, schools and communities turn schools into places that empower and equip every student for a lifetime ...",turn schools makes grants lifetime
97,Flickr photos by Iowa Department of Education · 12:51am - Students who participate in ...,department education iowa flickr 12
98,The American Society of Hematology (ASH) is the world's leading provider of hematology education.,world leading american provider ash
99,"Entertainment Tonight (ET) is the authoritative source on entertainment and celebrity news with unprecedented access to Hollywood's biggest stars, upcoming ...",source entertainment tonight stars authoritative
100,"View entertainment news and videos for the latest movie, music, TV and celebrity headlines on CNN.com.",entertainment news movie view com
101,"Jada Pinkett Smith says she has 'codependency issues' ... Woody Harrelson says Mike Pence once 'mentored' him, recalls meeting Donald Trump. ...",smith says mentored pence harrelson
105,"Your source for entertainment news, celebrities, celeb news, and celebrity gossip.",news celebrity entertainment gossip celeb
106,"Entertainment is a form of activity that holds the attention and interest of an audience, or gives pleasure and delight.",gives pleasure form activity holds
107,"Gerardo Parra on Nationals' ""Baby Shark"".",baby shark parra nationals gerardo
108,"Best Arts & Entertainment in San Jose, CA - subZERO, Seven Springs, Dead Time Dreams Haunted Attractions, Fujitsu Planetarium, Renegade Theatre ...",entertainment san planetarium renegade fujitsu
110,"All the juicy celebrity gossip, music news, movie and tv reviews, and ...",news movie music gossip reviews
111,"Latest entertainment industry news, upcoming celebrities, blockbuster movies, and hit television shows.",latest entertainment shows celebrities hit
112,"The latest news in entertainment from USA TODAY, including pop culture, celebrities, movies, music, books and TV reviews.",news entertainment books pop reviews
114,"The Entertainment® Book and Digital Membership offer 2-for-1 and up to 50% off discounts, all conveniently accessed on our mobile app, online or in the book.",online book membership 50 app
115,"Entertainment Weekly has all the latest news about TV shows, movies, and music, as well as exclusive behind the scenes content from the entertainment ...",shows movies news content exclusive
116,"Yahoo Entertainment is your source for the latest TV, movies, music, and celebrity news, including interviews, trailers, photos, and first looks.",news including looks tv trailers
117,"There's so much to read, watch and listen to that it can be overwhelming.",read watch listen overwhelming
118,All the latest buzz in the world of movies and TV can be found here.,world movies latest tv buzz
119,"The best pop culture, viral stories, and trends on the web.",best pop web trends stories
120,Recap · 'L&HH: Hollywood': Lyrica Goes On A Picnic With A1 & Looks Through His DMs.,goes a1 lyrica hh dms
121,"If you care about television, music, film, or celeb news; we've got it covered.",got covered news film ve
122,"The latest articles about Entertainment from Mashable, the media and tech company.",articles entertainment company latest tech
123,"Entertainment is a form of activity that holds the attention and interest of an audience, or gives pleasure and delight.",gives pleasure form activity holds
125,"Amazon's Echo Studio offers boisterous, booming sound quality at a cheaper price than the Google Home Max and Apple HomePod.",sound quality amazon max boisterous
126,"L.A. Times entertainment news from Hollywood including event coverage, celebrity gossip and deals.",entertainment news including coverage deals
127,Romper's home for all news and entertainment coverage related to parenting and motherhood.,home news related coverage motherhood
129,"Stories about the latest apps and games, movies, TV shows, and music available from Amazon Prime Video, Amazon Music, and Kindle.",shows music games available kindle
130,"Denver Entertainment news, entertainment, TV, music, movies, theater, travel, celebrities, gossip from the Denver Post.",entertainment news travel celebrities denver
131,"Latest entertainment news covering movies, music, TV, concerts,, comedy, theatre and the arts from The Detroit News.",entertainment news comedy concerts covering
132,"All the juicy celebrity gossip, music news, movie and tv reviews, ...",news movie music gossip reviews
133,"Celebrity interviews, movie, TV, music and book reviews, plus funny lists and interactive games.",music book celebrity lists reviews
137,"5:23 PM PT -- JC Lee and Shirrel Rhoades -- the Prez of Stan Lee Entertainment -- tell TMZ, ""We are working together to remedy all the issues ...",entertainment tell pt prez shirrel
138,"Yes, I have a favorite period film this year set in a major city decades ago, based on a comic book, and featuring a nice protagonist's inevitable fall into amorality ...",year set inevitable protagonist featuring
140,"HowStuffWorks Entertainment covers all aspects of the entertainment industry, including movies, music, games and sports.",aspects entertainment games movies covers
141,"The best in movies, TV, music, features, interviews, and books about your favorite stars, musicians, and authors, all for boomers and senior citizens.",best movies musicians features senior
143,"Latest Current News: U.S., World, Entertainment, Health, Business, Technology, Politics, Sports.",news world politics technology health
144,"Richmond, VA entertainment news including arts, movies, restaurants, music, television, events and more.",entertainment news including arts restaurants
145,Patricia Heaton Warns Kanye West About Difficulties of Being Christian in Hollywood: 'It's Very Hard' · Image source: Adobe Stock ...,hard image adobe kanye warns
146,Newsday.com has all the latest entertainment & celebrity ...,latest entertainment celebrity com newsday
147,"From concerts to comedy shows and everything in between, you'll enjoy star-studded entertainment at Hard Rock Sacramento.",entertainment hard star ll studded
148,Honey Boo Boo Refuses to Move Back Home with Mama June · Jordyn Woods ...,home mama woods june refuses
149,"Entertainment articles, stories, news and information.",entertainment articles news stories information
150,"New York City Entertainment - Get the latest local stories, photos and videos that is important to you, all in one place on am New York.",place new stories entertainment videos
152,"Search, discover & share your favorite Entertainment GIFs.",share favorite discover search entertainment
153,Entertainment news for Memphis and the Mid-South from The Commercial Appeal.,south commercial news appeal mid
154,"Sat, Dec 7 ... The sports and entertainment venue that brings the whole.",venue brings entertainment sports sat
157,Join · Exclusive Content · My Account; Log Out.,content account exclusive log join
158,What's on this page: Production Shows | More Entertainment | Special Occasions.,entertainment special shows page production
159,How Self-Care Helped Hannah B. Salsa Her Way To Immunity This Week ...,way week immunity salsa hannah
160,"From ballet and banjos to parades and puppetry, the holiday entertainment is ...",holiday entertainment ballet parades puppetry
161,"Louisville's music, dining, arts and entertainment news and listings from the Courier-Journal.",entertainment news journal listings louisville
162,"Swedish Crown Princess Victoria has urged Bosnian leaders to tackle their country's environmental problems, saying it's a key challenge they will have to ...",problems saying tackle crown victoria
164,"For a variety of reasons, Disney's new direct-to-consumer streaming product is shaping up ...",new direct consumer streaming shaping
165,"1323 Entertainment jobs available in San Jose, CA on Indeed.com.",available san jobs entertainment com
166,ESSENCE's Entertainment Director Picks What's Hot This Month.,hot month entertainment director picks
167,"We handle all things from Live Music, to DJs to Photo booths and lighting.",things live lighting photo booths
168,"Entertainment Earth is your source for action figures, toys, collectibles, and bobble heads to collect.",entertainment earth collect heads source
169,EXCLUSIVE: U.S. indie distributor Vertical Entertainment is launching a genre-leaning UK distribution arm during the American Film Market.,film market uk launching vertical
170,"Entertainment Cruises - dining cruises, yacht charters & sightseeing tours in Alexandria, Baltimore, Boston, Chicago, National Harbor, New Jersey, New York, ...",entertainment cruises new jersey national
171,"You want comedy that's fresh, appeals to everyone, and offends no one.",want fresh appeals comedy offends
172,Entertainment Schedule and Characters Revealed for Mickey's Very Merry Christmas Party 2019.,christmas party characters schedule revealed
173,Elite Entertainment - Professional DJ company serving the San Jose and San Francisco Bay Area for all social events including weddings and corporate parties.,entertainment professional bay serving jose
174,"I already know this is an unpopular opinion, but I'm glad that seatback entertainment systems are going the way of the dodo.",going way entertainment unpopular dodo
175,"Learn more about applying for Production Manager, Disney Cruise Line Entertainment at DISNEY.",line entertainment learn production manager
176,Round1 is a state-of-the-art entertainment company offering fun the whole family can enjoy.,offering fun company round1 state
178,"The official home of your favorite MGA Entertainment kids toys and products including Little Tikes, LOL Surprise!,",including little lol official mga
179,Entertainment News from the Bradenton Herald newspaper in Southwest Florida.,newspaper southwest news entertainment herald
181,CAA has signed Korean entertainment and lifestyle company SM Entertainment for representation in all areas.,entertainment representation korean signed sm
182,"Southwest WiFi, free live TV, and music are available when you connect to the Inflight Entertainment Portal.",free live portal wifi southwest
183,"Entertainment on Digg: the best articles, videos, tweets, and original content that the web is talking about right now.",web talking entertainment original tweets
184,The bassist explains why his autobiography is more of a coming of age story than a rock memoir.,age story explains rock autobiography
185,Entertainment news from the Raleigh News & Observer newspaper in The Triangle.,entertainment news newspaper observer triangle
187,Opening Night Fan Event Star Wars: The Rise Of Sky.,opening night star rise fan
188,"K-Pop powerhouse SM Entertainment, home to NCT 127, SuperM and EXO, has inked with CAA for representation in all areas.",entertainment home 127 exo superm
189,"If you're looking for the best Mescalero entertainment, you don't have to look too far!",look far don entertainment mescalero
190,"From Wilmington?s Riverfront to Dewey Beach, where to go for live music, great food, beach fun and more.",beach fun live riverfront wilmington
191,We are a global coalition of leading content creators and on-demand entertainment services committed to supporting the legal marketplace for video content and ...,leading content committed video creators
193,"We'd love to see you sign up for our weekly newsletter about local music, movies, dining and entertainment experiences.",love sign experiences movies dining
194,Trump's Bizarre Comment About Son Barron is Turning Heads.,comment son bizarre heads trump
195,Charlotte Observer in Charlotte offers local news coverage online.,coverage online local charlotte offers
196,"Complete coverage of the entertainment industry, TV, Music, Movies, celebrities, awards shows and more at Reuters.com.",entertainment industry complete coverage com
197,Internet Culture · Kanye West's Caterer Takes Responsibility For Viral Brunchella Plate.,internet culture brunchella plate kanye
198,"The David Buchan Memorial Lecture, Presented to the Elphinstone Institute, the University of Aberdeen, 29 November 2018 ...",institute university 29 2018 elphinstone
199,"Folklore is the collection of traditional beliefs, customs, and stories of a community, passed through the generations by word of mouth.",community passed collection mouth customs
200,Welcome to the Folklore and Mythology LibGuide at the University of Washington Libraries.,welcome folklore libguide university libraries
201,No information is available for this page.,information available page
202,"Folklore is a compilation of the beliefs, customs, mores, and practices of distinct cultural groups.",distinct cultural customs folklore mores
203,"Instantly play your favorite free online games including Solitaire, Mahjongg Dimensions, Bridge, Crossword, Word Wipe, and dozens more.",games including bridge wipe dimensions
204,"All USA Today All Games games, quizzes, crosswords, and puzzles can be found here.",today games puzzles quizzes usa
205,New free games every day at ...,games day free new
206,"Includes hundreds of different games, puzzles and quizzes.",different games puzzles hundreds includes
207,"AARP has new free games online such as Mahjongg, Sudoku, Crossword Puzzles, Solitaire, Word games and ...",free games word new mahjongg
209,"Including puzzle games, card games, casino games, strategy games and many more!",games strategy casino puzzle including
210,LA Times games can be played online or downloaded for free.,times games free played downloaded
211,"Instantly play your favorite free online games including card games, puzzles, brain games & dozens of others, brought to you by Metro News.",games including instantly news brain
213,The Facebook App Center is a place to play games and discover great apps on Facebook.,great apps play facebook discover
214,The Facebook App Center is a place to play games and discover great apps on Facebook.,great apps play facebook discover
215,Agame.com is the best place to go if you're searching for a variety of popular games to play online.,best place searching games com
216,Why should grownups get to play all the fun games?,play fun grownups games
217,Hong Kong (CNN) China has announced a curfew on online gaming for minors among new measures aimed at curbing video game addiction.,online gaming minors curbing cnn
218,Games are more fun with the Google Play Games app.,games fun google play app
220,"A game is a structured form of play, usually undertaken for enjoyment and sometimes used as an educational tool.",play usually tool structured enjoyment
221,Learning games for students.,games students learning
222,"Results 1 - 15 of 2706 - Browse the newest, top selling and discounted PC games on Steam.",results 15 newest discounted steam
223,"Forbes' Games section is focused on the products dominating the market, the young entrepreneurial minds driving the industry, and all the idiosyncrasies ...",market young games section idiosyncrasies
224,"Latest Games news, comment and analysis from the Guardian, the world's leading liberal voice.",world leading analysis liberal comment
225,Welcome to your local playground.,welcome local playground
226,"Online shopping for Apps & Games from a great selection of Brain & Puzzle, Arcade, Action, Casino, Game Mobile Software Applications & more at everyday low ...",games great everyday applications low
227,"Each year, thousands of new games are released across consoles, PC, and mobile devices.",new games devices thousands released
228,"YouTube's gaming channel, featuring news, reviews, playthroughs, and more.",featuring news gaming youtube reviews
229,BEIJING — No playing video games after 10 p.m. No more than 90 minutes of gaming on weekdays.,games 10 video 90 weekdays
230,"Unity gaming solutions is everything you need to create, operate and monetize your Mobile games, Instant games, AR and VR Games, PC and Console games.",games instant unity monetize ar
231,Looks like we couldn't save your results!,looks like couldn save results
232,"A blue-ribbon panel of 150 experts selects the best games in the sport's history, from 1971 Oklahoma-Nebraska to Toledo-Western Michigan in ...",sport history ribbon toledo 1971
234,Mixer is where viewers and streamers come together in new ways.,come new ways viewers mixer
237,"The Verge's gaming section brings the latest video game news, reviews of the most exciting releases, and interviews with the industry's biggest names.",brings latest names section reviews
238,Browse Origin's collection of PC and Mac games.,collection pc games mac browse
239,Multiplayer gaming is better than ever.,gaming better multiplayer
240,"These games (a list is here) will also be featured on NBA TV through the main Center Court broadcast as well as on the web and mobile, where ...",games list center court broadcast
241,"A pioneer of modern war and cooperative strategy games, Avalon Hill has been bringing generations of gamers together through a shared love of strategy, ...",love strategy cooperative hill pioneer
242,r/Games: The goal of /r/Games is to provide a place for informative and interesting gaming content and discussions.,games provide content goal discussions
243,CBeebies is the home of fun and educational games for kids to play and learn ...,home fun learn games educational
244,You are valiant space hero who is not as fortunate as those in the golden age of scrolling shooters… + Add channel.,space hero channel shooters scrolling
245,"Prepare for the fight of your life next month as you lock swords with otherworldly evil in brutal action-RPG Nioh, and struggle for survival in ...",fight life lock rpg otherworldly
247,These games will test your know-how in a wide range of emergencies and teach you how to build the emergency kit.,know wide test games kit
248,"Groundbreaking indie games, epic tabletop games, and beloved revivals.",indie games beloved groundbreaking tabletop
249,Free 2-day shipping on most items or same-day pick-up in store.,items day pick store free
250,"Sign into your account, and play as many games as you like.",games like play sign account
251,Kongregate has free games that you can play online.,play online games free kongregate
252,Pennsylvania Lottery's official online gaming site with safe and secure play.,secure play site official lottery
254,"Founded in 2004, Games for Change facilitates the creation and distribution of social impact games that serve as critical tools in humanitarian and educational.",social impact games facilitates founded
255,"Plus, all you favorite Disney and Star Wars ...",plus favorite star disney wars
256,"Non-profits can host the Lottery's Charitable Games to raise money, support their causes, and provide their community with entertainment.",money support host games lottery
257,With a non-destructive workflow wrapped in user-friendly applications and supported ...,friendly applications non workflow wrapped
259,You can win prizes on many of our arcade games.,win prizes games arcade
261,"Results 1 - 116 of 116 - Bubble Bobble 4 Friends, officially licensed Nintendo Switch game.",switch game results 116 licensed
262,Items 1 - 24 of 177 - Shop for On Sale Video Games at Best Buy.,best buy games 24 video
263,There are no undefeated teams left in the 2019-20 Turkish Airlines EuroLeague Regular Season after the first ...,teams left airlines turkish 2019
264,Results 1 - 90 of 801 - Asphalt 8: Airborne - Fun Real Car Racing Game.,real car 90 asphalt airborne
265,"Topics include math, reading, typing, just-for-fun logic games… and ...",just fun topics include typing
266,"As long as there have been video games, critics have bemoaned their social and psychological consequences.",games critics long psychological video
267,"Watch live NFL Preseason games, replay all 256 regular season games and listen to live gameday radio broadcasts with NFL Game Pass.",games listen regular pass gameday
268,Games are more fun with the Google Play Games app.,games fun google play app
270,Card & Board; Hidden Object; Match 3; Poker & Casino.,match poker card board hidden
271,"Scratch is a free programming language and online community where you can create your own interactive stories, games, and animations.",community create games language scratch
273,All of the upcoming and available games in the Limited Run Games™ Collection.,available games limited run collection
274,88% 50.4K. Flee the Facility [Beta].,facility beta 50 88 flee
276,"Rockstar's beloved cowboy walking simulator is finally making its way to the PC, just in time for the holidays.",just time beloved pc simulator
277,Download hundreds of Oculus Quest VR experiences.,quest vr experiences hundreds download
278,Game Director Ben Lee says he wishes Blizzard executives would have handled the issue with .... Kojima Productions Plans to Make Movies as Well as Games.,plans make productions ben blizzard
279,Big Fish is the #1 place to find casual games!,fish place big games casual
280,"Our second game, the the card-collecting tactical battler Scrolls was released in 2014, ...",second game tactical 2014 scrolls
281,"4 In A Line (Called ""Connect 4"" by ...",line called connect
283,"Metacritic offers aggregated game reviews from the top critics, and our own METASCORE pinpoints at a glance how each game was ...",glance game critics aggregated pinpoints
284,World of Warcraft's newest expansion set pits Azeroth's heroes against the Burning Legion.,world warcraft set expansion pits
285,Serene puzzle action game about a boy in search of his lost Grandpa. ...,game boy action search grandpa
286,GamesGames is your zone to play online games!,play online games gamesgames zone
287,"Shop Video Games at Walmart for the best selection of video games for Xbox One, PS4, Wii U, Xbox 360, PS3, Wii, PS Vita, PC, Nintendo 3DS, and more.",games xbox walmart vita selection
289,"This app category includes arcade games, action games, RPG games, strategy games, sports games, board ...",action games board app includes
290,Poki has the best online game selection and offers the most fun experience to play alone or with ...,experience play online offers selection
291,"A vast selection of titles, DRM-free, with free goodies and 30-day money-back guarantee.",day money selection goodies titles
293,Automatically optimize your game settings for over 50 games with the GeForce Experience application.,game settings application optimize 50
294,"BrainPOP's curated collection of cross-curricular, online learning games from leading publishers, plus teaching tips for easy integration.",online learning cross curricular brainpop
295,Untitled Goose Game is fun.,game fun goose untitled
296,Our mission is to support charity while providing awesome content to customers at great prices.,customers great content mission charity
298,An atmospheric puzzle adventure set in a dark and mysterious world where the darkness kills.,mysterious world set puzzle atmospheric
299,"thumbnail for post ID 11045027 · The once unlikely combo of Mario and Sonic in the same game returns, but has the Japanese venue finally resulted in a decent ...",resulted decent post thumbnail mario
300,"Chargers vs. Raiders, Vikings vs. Cowboys, and Seahawks vs. 49ers should be competitive matchups.",vs 49ers cowboys matchups competitive
301,"An estimated 58 million people – slightly less than 1% of the global population – belong to other religions, including the Baha'i faith, Jainism, ...",people slightly global 58 jainism
302,"Religion has always been global, in the sense that religious communities and traditions have always maintained permeable boundaries.",sense religious communities maintained global
303,"Globally, Muslims make up the second largest religious group, with 1.8 billion people, or 24% of the world's population, followed by religious “nones” (16%), Hindus (15%) and Buddhists (7%).",people 24 second globally hindus
305,"not ubiquitous worldwide in the way that adherents of bigger world religions are, ...",worldwide way bigger religions ubiquitous
306,"Both panoramic and detailed, this infographic shows both the size and distribution of world religions.",distribution world size religions panoramic
307,Faith is on the rise and 84% of the global population identifies with a religious group.,faith rise group population identifies
308,Pew Research Center's Global Religious Futures database offers religious demography and survey results for almost every country of the world.,global religious database futures demography
309,"The world's faithful account for 83% of the global population; the great majority of these fall under twelve classical religions—Baha'i, Buddhism, ...",great majority classical buddhism 83
310,The World Religion Project (WRP) aims to provide detailed information about religious adherence worldwide since 1945.,information religious project adherence 1945
311,"Religion touches on everything about the world around us, from the explanations ...",touches world explanations religion
312,"Infographic world map showing both the size and distribution of the world's major religions (islam, christianity, judaism, buddhism, hinduism) as ...",major religions map distribution size
313,"These are a couple of the biggest revelations from ""The Future of World Religions: Population Growth Projections, 2010-2050,"" a new report by Pew Research ...",future world 2010 revelations 2050
314,"This is according to Adherents, an independent, non-religiously affiliated organisation that monitors the number and size of the world's religions ...",size world non affiliated monitors
315,"Whatever is credible should be sourced, and what is not should be removed.",sourced removed credible
316,"A collection of charts, maps and graphs exploring global religion.",graphs exploring charts global collection
317,The interactive opens to show a map that displays the religions that ...,interactive opens displays map religions
318,"Includes Atheism, Christianity, Islam, Paganism, Jainism, Zoroastrian and many more.",atheism christianity paganism jainism includes
319,"This pie chart is based on statistics listing peoples self-admitted adherence to one of the major world religions, or to other faiths, or to people stating that they are ...",people stating faiths chart adherence
320,"A collage showing symbols of various religions .... Though the world's religions are very dynamic, and major faiths continue to shift and evolve ...",religions world showing shift symbols
321,Department of Global Religions Why should students think about studying Global Religions?,students think religions studying global
322,"Baha'i revelation contends the prophets of major world religions reflect some truth or element of the divine, believes all were manifestations of God given to ...",reflect truth major element contends
323,The Global Religion Research Initiative at the University of Notre Dame is dedicated to supporting the study of religion in global perspective by offering grants ...,religion research supporting offering grants
324,The aim of the course Global Religion is to gain knowledge and insight into the forms of religion as a global practice.,course global religion insight forms
325,The World Religion Database (WRD) contains detailed statistics on religious affiliation for every country of the world.,country world statistics contains affiliation
